marker	chromosome	position
M001	Chr1	2.38095238095238
M002	Chr1	4.76190476190476
M003	Chr1	7.14285714285714
M004	Chr1	9.52380952380952
M005	Chr1	11.9047619047619
M006	Chr1	14.2857142857143
M007	Chr1	16.6666666666667
M008	Chr1	19.047619047619
M009	Chr1	21.4285714285714
M010	Chr1	23.8095238095238
M011	Chr1	26.1904761904762
M012	Chr1	28.5714285714286
M013	Chr1	30.952380952381
M014	Chr1	33.3333333333333
M015	Chr1	35.7142857142857
M016	Chr1	38.0952380952381
M017	Chr1	40.4761904761905
M018	Chr1	42.8571428571429
M019	Chr1	45.2380952380952
M020	Chr1	47.6190476190476
M021	Chr1	50
M022	Chr1	52.3809523809524
M023	Chr1	54.7619047619048
M024	Chr1	57.1428571428571
M025	Chr1	59.5238095238095
M026	Chr1	61.9047619047619
M027	Chr1	64.2857142857143
M028	Chr1	66.6666666666667
M029	Chr1	69.0476190476191
M030	Chr1	71.4285714285714
M031	Chr1	73.8095238095238
M032	Chr1	76.1904761904762
M033	Chr1	78.5714285714286
M034	Chr1	80.9523809523809
M035	Chr1	83.3333333333333
M036	Chr1	85.7142857142857
M037	Chr1	88.0952380952381
M038	Chr1	90.4761904761905
M039	Chr1	92.8571428571429
M040	Chr1	95.2380952380952
M041	Chr1	97.6190476190476
M042	Chr1	100
