marker	chromosome	position
M001	Chr1	6.66666666666667
M002	Chr1	13.3333333333333
M003	Chr1	20
M004	Chr1	26.6666666666667
M005	Chr1	33.3333333333333
M006	Chr1	40
M007	Chr1	46.6666666666667
M008	Chr1	53.3333333333333
M009	Chr1	60
M010	Chr1	66.6666666666667
M011	Chr1	73.3333333333333
M012	Chr1	80
M013	Chr1	86.6666666666667
M014	Chr1	93.3333333333333
M015	Chr1	100
M016	Chr10	10
M017	Chr10	20
M018	Chr10	30
M019	Chr10	40
M020	Chr10	50
M021	Chr10	60
M022	Chr10	70
M023	Chr10	80
M024	Chr10	90
M025	Chr10	100
M026	Chr10	110
M027	Chr10	120
M028	Chr10	130
M029	Chr10	140
M030	Chr10	150
